Trading_code    News Title   News   Post Date
EXCH  ////// DSENEWS: Bidding of shares of Navana Pharmaceuticals Limited  ////// Bidding of shares of Navana Pharmaceuticals Limited at a nearest round-down integer value under Fair Value Method: As per clause 1(iii) of Bangladesh Securities and Exchange Commission directive No. BSEC/CMRRCD/2021-389/04 dated February 01, 2021, all the interested bidders are requested to submit value of ordinary share of Navana Pharmaceuticals Limited at a nearest round-down integer while bidding at 1.2 times higher than the determined fair value.  /////// 2022-06-30
........................................................................................................................LANKABAFIN  ////// LANKABAFIN: Credit Rating Result  ////// Credit Rating Agency of Bangladesh Limited (CRAB) has announced the rating of the Company as "AA3" in the Long Term and "ST-2" in the Short Term along with a Stable outlook based on audited financial statements as of December 31, 2021 and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-06-30
........................................................................................................................TRUSTBANK  ////// TRUSTBANK: Credit Rating Result  ////// Credit Rating Agency of Bangladesh Limited (CRAB) has announced the rating of the Company as "AA1" in the long term and "ST-1" in the short term along with a Stable outlook based on audited financial statements of the Company as of December 31, 2021 and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-06-30
........................................................................................................................SAIHAMTEX  ////// SAIHAMTEX: Credit Rating Result  ////// National Credit Ratings Limited (NCR) has announced the Surveillance Entity Rating of the Company as "AA" in the long term and "ST-2" in the short term along with a Stable outlook based on audited financial statements of the Company as on June 30, 2021.  /////// 2022-06-30
........................................................................................................................EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (30.06.2022) Total Trades: 177,763; Volume: 233,670,165 and Turnover: Tk. 9,377.475 million.  /////// 2022-06-30
........................................................................................................................NHFIL  ////// NHFIL: Credit Rating Result  ////// Credit Rating Information and Services Limited (CRISL) has rated the Company as "AA-" in the long term and "ST-2" in the short term along with a Stable outlook based on audited financial statements of the Company up to December 31, 2021; unaudited financial statements up to March 31, 2022 and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-06-30
........................................................................................................................GP  ////// GP: Embargo from BTRC on selling new SIM  ////// The Company informed that they have received a letter from the Bangladesh Telecommunication Regulatory Commission (BTRC) on 29 June 2022 with an embargo on selling new SIM in connection to QoS.  /////// 2022-06-30
........................................................................................................................TITASGAS  ////// TITASGAS: Regarding Distribution and Transmission Charges  ////// The Company has informed that Bangladesh Energy Regulatory Commission has issued a Directive (No. 2022/09 dated June 04, 2022) mentioning that Distribution charge has been determined BDT. 0.1300 for per cubic meter (Price Rate Directive No. 8.5) and Transmission charge has been determined BDT. 04778 for per cubic meter (Price Rate Directive No. 8.6, Annexure- Kha) applicable for its consumers.  /////// 2022-06-30
........................................................................................................................EXCH  ////// DSENEWS: NEWS for TREC Holders of DSE & Merchant Bankers  ////// NEWS for TREC Holders of DSE & Merchant Bankers: All the TREC Holders of DSE & Merchant Bankers are requested to join the awareness program on "Investment Information of Qualified Investors (QIs) for Trading in Secondary Market in SME Platform" to be held on July 03, 2022 at 3:30 pm through the following zoom meeting link: https://us06web.zoom.us/j/82182776694? pwd = Y1dnbyt6M1lYSHFERXRkdWk2Y1lnUT09, meeting ID- 82182776694 and passcode- SME222.  /////// 2022-06-30
........................................................................................................................DSSL  ////// DSSL: Resumption after record date  ////// Trading of the shares of the company will resume on 03.07.2022 after record date.  /////// 2022-06-30
........................................................................................................................EBL  ////// EBL: Sale Confirmation of a Corporate Director  ////// Purnima Construction (Pvt.) Ltd., one of the Corporate Directors of the Company, has further informed that it has completed its sale of 1,60,00,000 shares of the Company at prevailing market price through Dhaka Stock Exchange as per declaration disseminated on 19.06.2022.  /////// 2022-06-30
........................................................................................................................EBL  ////// EBL: Sale Confirmation of a Nominated Director  ////// Mrs. Salina Ali, one of the Nominated Directors of the Company, has further informed that she has completed her sale of 1,55,00,000 shares of the Company at prevailing market price through Dhaka Stock Exchange as per declaration disseminated on 20.06.2022.  /////// 2022-06-30
........................................................................................................................HWAWELLTEX  ////// HWAWELLTEX: Credit Rating Result  ////// Emerging Credit Rating Limited (ECRL) has assigned surveillance rating of the Company as "A+" in the long term and "ST-2" in the short term along with a Stable outlook based on audited financial statements of the Company up to June 30, 2021; unaudited financial statements of 2022 (9 months) and other relevant quantitative and qualitative information up to the date of rating.  /////// 2022-06-30
........................................................................................................................INTRACO  ////// INTRACO: Credit Rating Result  ////// WASO Credit Rating Company (BD) Ltd. (WCRCL) has announced the Surveillance entity rating of the Company as "A2" in the long term and "ST-2" in the short term along with a Stable outlook based on financial statement up to March 31, 2022 and other relevant quantitative and qualitative information up to the date of rating issuance.  /////// 2022-06-30
........................................................................................................................STANDBANKL  ////// STANDBANKL: Credit Rating Result  ////// ARGUS Credit Rating Services Limited (ACRSL) has announced the rating of the Company as "AA+" for long term and "ST-2" for short term in consideration of financials of the Company up to December 31, 2021 (audited), Q1FY22 (unaudited) and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-06-30
........................................................................................................................RDFOOD  ////// RDFOOD: Credit Rating Result  ////// Emerging Credit Rating Limited (ECRL) has assigned the Company as "A-" in the long term and "ST-3" in the short term along with a Stable outlook based on audited financial statements up to June 30, 2021; unaudited financial statements for 9 months of FY2022 and other relevant quantitative and qualitative information up to the date of rating.  /////// 2022-06-30
........................................................................................................................IMAMBUTTON  ////// IMAMBUTTON: Query Response  ////// In response to a DSE query dated June 29, 2022, the Company has informed that the production of the company has been shut down since April 01, 2020 and due to closure of the company there is no undisclosed price sensitive information of the Company for recent unusual price hike and increase in volume of shares.  /////// 2022-06-30
........................................................................................................................BPML  ////// BPML: Revaluation of Land  ////// The Company has informed that the Board of Directors has approved the Revaluation of 38.2751 Acres Land as on March 31, 2022. The revaluation amount of Land has been increased from BDT 2,107,635,598.00 to BDT 6,650,094,517.00. The revaluation surplus was BDT 4,542,458,919.00.  /////// 2022-06-30
........................................................................................................................PREMIERBAN  ////// PREMIERBAN: Credit Rating Result  ////// ARGUS Credit Rating Services Limited (ACRSL) has announced the rating of the Company as "AA+" for long term and "ST-1" for short term in consideration of financials of the Company up to December 31, 2021 (audited), Q1FY22 (unaudited) and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-06-30
........................................................................................................................TALLUSPIN  ////// TALLUSPIN: Q3 Financials  ////// (Q3 Un-audited): EPS was Tk. (0.57) for January-March 2022 and Tk. (1.47) for July 2021-March 2022; NOCFPS was Tk. 0.04 for July 2021-March 2022. NAV per share was Tk. 23.29 as on March 31, 2022 and Tk. 24.75 as on June 30, 2021.  /////// 2022-06-30
........................................................................................................................UTTARABANK  ////// UTTARABANK: Credit Rating Result  ////// Emerging Credit Rating Limited (ECRL) has assigned rating of the Company as "AA" in the long term and "ST-2" in the short term along with a Stable outlook based on audited financial statements of the Company up to December 31, 2021 and other relevant quantitative as well as qualitative information up to the date of rating.  /////// 2022-06-30
........................................................................................................................BGIC  ////// BGIC: Q1 Financials  ////// (Q1 Un-audited): EPS was Tk. 0.71 for January-March 2022 as against Tk. 0.69 for January-March 2021. NOCFPS was Tk. 0.87 for January-March 2022 as against Tk. 0.84 for January-March 2021. NAV per share was Tk. 20.25 as on March 31, 2022 and Tk. 19.43 as on March 31, 2021.  /////// 2022-06-30
........................................................................................................................EXCH  ////// DSENEWS: Providing information and documents of registered EIs of RPPGF  ////// (Continuation of DSENEWS): In case of their failure to submit the updated relevant information and required documents, the registered funds (RPPGF) will not be allowed to participate in the subscription of IPOs as Eligible Investors hereafter. (end)  /////// 2022-06-30
........................................................................................................................EXCH  ////// DSENEWS: Providing information and documents of registered EIs of RPPGF  ////// (Continuation of DSENEWS): provided web link (https://forms.monday.com/forms/1fd345228c2881337776f66cfa37639e? r=use1) by July 03, 2022. It is noteworthy to mention that all registered funds (RPPGF) will update their investment information through the above mentioned web link within the first 3 (three) working days of every month from now onwards. (cont.2)  /////// 2022-06-30
........................................................................................................................EXCH  ////// DSENEWS: Providing information and documents of registered EIs of RPPGF  ////// Providing information and documents of registered Eligible Investors (EIs) in the category of Recognized Provident, Pension and Gratuity Funds (RPPGF): All the Eligible Investors (EIs) in the category of Recognized Provident, Pension and Gratuity Funds (RPPGF) registered with Electronic Subscription System (ESS) of the exchanges are hereby requested to provide the relevant information and documents for their onward participation in subscription of IPOs through the (cont.1)  /////// 2022-06-30
........................................................................................................................EXCH  ////// DSENEWS: Investment information of QIs for trading facility with SME platform  ////// (Continuation of DSENEWS): to facilitate their onward participation in trading of securities listed with the small capital platform of the exchanges through the provided web link(https://forms.monday.com/form/d0971e46d2d4a88347c7aa378735034c? r=use1) by July 03, 2022. It is noteworthy to mention that data provided after July 03, 2022 will not be processed for onward measures and the validity of that data will remain effective till September 30, 2022. (end)  /////// 2022-06-30
