Trading_code    News Title   News   Post Date
EXCH  ////// DSENEWS: "Eid Greetings"  ////// On the occasion of "Eid-ul-Fitr", Dhaka Stock Exchange Ltd. wishes a happy "Eid Mubarak" to Regulators, Investors, TREC Holders, Listed Companies and well-wishers of the Capital Market of Bangladesh.  /////// 2022-04-28
........................................................................................................................ACE  ////// DSENEWS: Withdrawal of Authorized Representative  ////// Withdrawal of Authorized Representative: ACE Capital Management Service Ltd. (DSE TREC No. 16) has withdrawn one of its Authorized Representatives, Mr. Quamruzzaman Khondaker with immediate effect.  /////// 2022-04-28
........................................................................................................................SLT  ////// DSENEWS: Withdrawal of Authorized Representatives  ////// Withdrawal of Authorized Representatives: Salta Capital Limited. (DSE TREC No. 95) has withdrawn two of its Authorized Representatives, i) Mr. Md. Kamrul Hasan and ii) Mr. Md. Rokon Uddin with immediate effect.  /////// 2022-04-28
........................................................................................................................GSL  ////// DSENEWS: Withdrawal of Authorized Representatives  ////// Withdrawal of Authorized Representatives: Globe Securities Limited. (DSE TREC No. 189) has withdrawn two of its Authorized Representatives, i) Mr. Subrato Kumar Chandra and ii) Mr. Probir Kumar Saha with immediate effect.  /////// 2022-04-28
........................................................................................................................EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (28.04.2022) Total Trades: 174,579; Volume: 200,498,772 and Turnover: Tk. 8,698.147million.  /////// 2022-04-28
........................................................................................................................YPL  ////// YPL: Postponement of Board Meeting schedule under LR 16(1)  ////// The Company has further informed that due to unavoidable circumstances, the meeting scheduled to be held on April 28, 2022 at 3:30 PM as per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended March 31, 2022, has been postponed.  /////// 2022-04-28
........................................................................................................................FEDERALINS  ////// FEDERALINS: Change of AGM Date  ////// The Company has further informed that the AGM of the Company will now be held on June 27, 2022 instead of earlier declared date June 28, 2022. Other information of the AGM will remain unchanged.  /////// 2022-04-28
........................................................................................................................SIMTEX  ////// SIMTEX: Credit Rating Result  ////// Credit Rating Information and Services Limited (CRISL) has rated the Company as "A" in the long term and "ST-3" in the short term along with a stable outlook in consideration of audited financial statements of the Company up to June 30, 2021; unaudited financials up to Merch 31, 2022 and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-04-28
........................................................................................................................GP  ////// GP: Credit Rating Result  ////// Credit Rating Information and Services Limited (CRISL) has rated the Company as "AAA" in the long term and "ST-1" in the short term along with a stable outlook in consideration of its audited financials up to December 31, 2021 and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-04-28
........................................................................................................................GENEXIL  ////// GENEXIL: Declaration of share transfer  ////// Mr. Prince Mojumder one of the Directors of the company, has expressed his intention to transfer 6,00,000 shares out of his holding 46,42,969 shares of the company to his mother Mrs. Momota Rani Ray (General Shareholder of the company), by way of gift outside the trading system of the Exchange within April 28, 2022 from the date of issuance of approval letter by DSE.  /////// 2022-04-28
........................................................................................................................TAKAFULINS  ////// TAKAFULINS: Board Meeting schedule under LR 16(1)  ////// As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on May 10, 2022 at 7:00 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended March 31, 2022.  /////// 2022-04-28
........................................................................................................................RELIANCINS  ////// RELIANCINS: Dividend Disbursement  ////// The Company has informed that it has disbursed the cash dividend for the year ended December 31, 2021 to the respective shareholders.  /////// 2022-04-28
........................................................................................................................NEWLINE  ////// NEWLINE: Sale Declaration of a Director  ////// M. Zakir Chowdhury, one of the Directors of the company, has expressed his intention to sell 167,580 shares out of his holding 26,89,659 shares of the company at prevailing market price (in the Block Market) through Dhaka Stock Exchange within April 28, 2022.  /////// 2022-04-28
........................................................................................................................CITYBANK  ////// CITYBANKLTD: Consent from BSEC for issuance Subordinated Bond  ////// The Company has informed that Bangladesh Securities And Exchange Commission has given their consent/approval for issuance of Floating Rate Non-Convertible Fully Paid-up Fully Redeemable Unsecured Subordinated Bond of Tk.700.00 (Seven Hundred) crore through private placement to other than existing shareholders.  /////// 2022-04-28
........................................................................................................................RUNNERAUTO  ////// RUNNERAUTO: Sale and Buy Declaration  ////// (cont. of RUNNERAUTO): 1,00,00,000 shares of the Company (in the Block Market) through Dhaka Stock Exchange within April 28, 2022, as per Rule-5 of the BSEC (Substantial Acquisition of Shares and Takeovers), Rules, 2018. (end)  /////// 2022-04-28
........................................................................................................................RUNNERAUTO  ////// RUNNERAUTO: Sale and Buy Declaration  ////// Brummer Frontier PE II (Mauritius) Ltd., one of the Corporate Directors of the company, has expressed its intention to sell 1,00,00,000 shares of the Company (in the Block Market) whereas Runner Lube & Energy Limited (where Mr. Hafizur Rahman Khan is the Chairman of both Runner Lube & Energy Limited and Runner Automobiles Limited), has expressed its intention to buy (cont.)  /////// 2022-04-28
........................................................................................................................MONNOCERA  ////// MONNOCERA: Revaluation of Property plant and Equipment  ////// (Continuation news of MONNOCERA): Overall Property Plant & Equipment increased from Tk.2,112.05 (mn) to Tk. 3,056.07 (mn) i.e. Tk. 944.02(mn). (end)  /////// 2022-04-28
