Trading_code    News Title   News   Post Date
EXCH  ////// DSENEWS: Daily Turnover  ////// Today's (31.03.2022) Total Trades: 152,808; Volume: 214,520,302 and Turnover: Tk. 11,169.465 million.  /////// 2022-03-31
........................................................................................................................PUBALIBANK  ////// PUBALIBANK: Board Meeting schedule under LR 19(1)  ////// As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on April 7, 2022 at 2:30 PM to consider, among others, audited financial statements of the Company for the year ended December 31, 2021.  /////// 2022-03-31
........................................................................................................................VFSTDL  ////// VFSTDL: Dividend Disbursement  ////// The Company has informed that it has disbursed the cash dividend for the year ended June 30, 2021 to the respective shareholders  /////// 2022-03-31
........................................................................................................................BSRMSTEEL  ////// BSRMSTEEL: Buy Declaration of a Corporate Director  ////// H. Akberali & Co. Limited, one of the Corporate Directors of the company, has expressed its intention to buy 20,00,000 shares of the company at prevailing market price (in the Public market) through Dhaka Stock Exchange within April 28, 2022, as per Rule-4 of the BSEC (Substantial Acquisition of Shares and Takeovers), Rules, 2018.  /////// 2022-03-31
........................................................................................................................EXCH  ////// DSENEWS: Trading & Office hours of DSE during the month of Holy Ramadan  ////// During the month of "Holy Ramadan" of Hijri 1443, DSE trading period will be Pre-Opening Session from 9:45 AM to 10:00 AM, continuous session from: 10:00 AM to 2:00 PM and Post-Closing session from: 2:00 PM to 2:05 PM. DSE office will remain open from 9:00 AM to 4:00 PM.  /////// 2022-03-31
........................................................................................................................LINDEBD  ////// LINDEBD: Resumption after record date  ////// Trading of the shares of the Company will resume on 03.04.2022 after record date.  /////// 2022-03-31
........................................................................................................................UNITEDINS  ////// UNITEDINS: Suspension for Record date  ////// Trading of the shares of the Company will remain suspended on record date i.e., 03.04.2022.  /////// 2022-03-31
........................................................................................................................RECKITTBEN  ////// RECKITTBEN: Suspension for Record date  ////// Trading of the shares of the Company will remain suspended on record date i.e., 03.04.2022.  /////// 2022-03-31
........................................................................................................................BATBC  ////// BATBC: Investment decision in Savar site Factory  ////// The Company has informed that the Board of Directors has approved the investment decision amounting to BDT 574.20 crore for company's Savar site factory. This investment would cater the upcoming exports opportunities and create contingency capacity. The investment will be funded from internal sources and bank financing based on Cashflow of the company.  /////// 2022-03-31
........................................................................................................................UCB  ////// UCB: Dividend Declaration (Additional Information)  ////// (Continuation news of UCB): declared from capital reserve or revaluation reserve or any unrealized gain or out of profit earned prior to incorporation of the Company or through reducing paid-up capital or through doing anything so that the post-dividend retained earnings become negative or a debit balance. (end)  /////// 2022-03-31
........................................................................................................................UCB  ////// UCB: Dividend Declaration (Additional Information)  ////// The Company has further informed reasons for declaration of stock dividend: i) Stock Dividend has been recommended to strengthen the capital base of the company to comply with the regulatory requirements and to support the business growth; ii) Stock Divined is declared out of accumulated profit. iii) Stock Dividend is not (cont.)  /////// 2022-03-31
........................................................................................................................UCB  ////// UCB: Board Decision to form a fully owned Subsidiary Company  ////// The Company has informed that the Board of Directors has decided to form a fully owned Subsidiary Company having paid-up capital of MYR 4,000,000.00 (forty lakh) (Equivalent to USD 950,000) in Malaysia to operate Money Services Business (MSB) subject to the approval of the regulatory authorities.  /////// 2022-03-31
........................................................................................................................UCB  ////// UCB: Board Decision to form a fully owned Subsidiary Company  ////// The Company has informed that the Board of Directors has decided to form a fully owned Subsidiary Company having paid-up capital of HK$ 5,000,000.00 (fifty lakh) (Equivalent to USD 650,000) in Hong Kong to conduct Trade Finance and other Business subject to the approval of the regulatory authorities.  /////// 2022-03-31
........................................................................................................................AFTABAUTO  ////// AFTABAUTO: Credit Rating Result  ////// Credit Rating Agency of Bangladesh Limited (CRAB) has announced the Entity Rating (Surveillance) of the Company as "A1" along with a stable outlook based on audited financial statements up to June 30, 2021; unaudited 6 (six) months management prepared financial statements; bank liability position as on December 31, 2021 and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-03-31
........................................................................................................................SINGERBD  ////// SINGERBD: Decision to establish a new manufacturing facility  ////// (Continuation news of SINGERBD): The proposed manufacturing facilities would cater to the increasing local demand with a competitive price and would also contribute to the Company's growth. (end)  /////// 2022-03-31
........................................................................................................................SINGERBD  ////// SINGERBD: Decision to establish a new manufacturing facility  ////// The Company has informed that the Board of Directors has approved a budget for establishing a new manufacturing facility in order to increase its manufacturing capacity. The budget approved by the Board of Directors is for a total of Euro 71 million (estimated) equivalent to BDT 680 crore (estimated). The investment will be financed from internal sources and bank financing both foreign and local borrowing. (cont.)  /////// 2022-03-31
........................................................................................................................CITYBANK  ////// CITYBANK: Board Meeting schedule under LR 19(1)  ////// As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on April 7, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended December 31, 2021.  /////// 2022-03-31
........................................................................................................................SAIHAMCOT  ////// SAIHAMCOT: Credit Rating Result  ////// Credit Rating Agency of Bangladesh Limited (CRAB) has announced the Entity Rating (Surveillance) of the Company as "A1" along with a stable outlook based on audited financial statements up to June 30, 2021; bank liability position up to February 28, 2022 and other relevant quantitative as well as qualitative information up to the date of rating declaration.  /////// 2022-03-31
........................................................................................................................SAIHAMTEX  ////// SAIHAMTEX: Buy Intimation  ////// Faisal Spinning Mills Ltd. (where Mr. S. M. Faisal, Mrs. Yasmin Faisal, Mr. Syed Ishtiaq Ahmed and Mr. Syed Shafqat Ahmed all are the Sponsor Directors of Saiham Textile Mills Ltd.), has expressed its intention to buy 15,00,000 shares of the company at prevailing market price (in the Block Market) through Dhaka Stock Exchange within April 28, 2022.  /////// 2022-03-31
........................................................................................................................UCB  ////// UCB: Price Limit Open  ////// There will be no price limit on the trading of the shares of the Company today (31.03.2022) following its corporate declaration.  /////// 2022-03-31
........................................................................................................................UCB  ////// UCB: Dividend Declaration  ////// The Board of Directors has recommended 10% stock dividend for the year ended December 31, 2021. Date of AGM: 09.06.2022, Time: 3:00 PM, Venue: Digital Platform. Record date: 25.04.2022. The Company has also reported consolidated EPS of Tk. 1.92, consolidated NAV per share of Tk. 29.25 and consolidated NOCFPS of Tk. (18.54) for the year ended December 31, 2021 as against Tk. 2.31, Tk. 27.96 and Tk. (8.87) respectively for the same period of the previous year.  /////// 2022-03-31
........................................................................................................................DSSL  ////// DSSL: BSEC Consent and Record date for entitlement of 5% Stock Dividend  ////// The Company has further informed that BSEC has accorded consent for issuance of 5% Stock Dividend for the year ended June 30, 2021. The Company has also informed that the Board of Directors has fixed the Record date on 10.04.2022 for entitlement of the aforesaid Bonus Shares.  /////// 2022-03-31
........................................................................................................................VFSTDL  ////// VFSTDL: Credit Rating Result  ////// National Credit Ratings Limited (NCR) has announced the surveillance entity rating of the Company as "BBB+" in the long term and "ST-3" in the short term along with a developing outlook based on audited financial statements as on June 30, 2021.  /////// 2022-03-31
........................................................................................................................NHFIL  ////// NHFIL: Update of Information  ////// The Company has requested the shareholders to update their respective BO Accounts with 12 digits e-TIN number and e-mail ID before the Record Date. If any shareholder fails to update his/her BO Account with the e-TIN disbursement of his/her dividend will be subject to deduction of Advance Income Tax (AIT) @ 15% instead of 10% (for individual) as per Section 54 of the amended Income Tax Ordinance, 1984.  /////// 2022-03-31
........................................................................................................................NHFIL  ////// NHFIL: Price Limit Open  ////// There will be no price limit on the trading of the shares of the Company today (31.03.2022) following its corporate declaration.  /////// 2022-03-31
........................................................................................................................NHFIL  ////// NHFIL: Dividend Declaration  ////// The Board of Directors has recommended 16% cash dividend for the year ended December 31, 2021. Date of AGM: 02.06.2022, Time: 12:00 noon, Venue: Digital Platform. Record Date: 20.04.2022. The Company has also reported EPS of Tk. 2.23, NAV per share of Tk. 18.65 and NOCFPS of Tk. 9.21 for the year ended December 31, 2021 as against Tk. 2.75, Tk. 17.91 and Tk. 5.06 respectively for the same period of the previous year.  /////// 2022-03-31
