Title,Location,Price,Images,Meta Data,Feature,Description,URL
Samsung B313E (Used),"Posted on 18 Oct 8:29 pm, Kushtia, Khulna Division","Tk 1,000","['samsung-b313e-used-for-sale-khulna-division-376@010ae873-c2e4-42d3-a5bb-7bf8d8d8bbfc', 'samsung-b313e-used-for-sale-khulna-division-376@be971d87-4144-47a8-86f8-647ea38a5340', 'samsung-b313e-used-for-sale-khulna-division-376@fa196a2e-8029-486c-b6d3-7f0495a0c05c', 'samsung-b313e-used-for-sale-khulna-division-376@37ecba7c-2d8c-49e2-9172-f24b326a7602']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'B313E', 'Edition:': 'SAMSUNG', 'Authenticity:': 'Original'}",,ফোনটিতে কোন সমস্যা নেই। অ্যান্ড্রয়েড ফোন কিনবো কিছু টাকায় শর্ট পড়েছে তাই বিক্রি করে দিচ্ছি। যে নিবেন দ্রুত যোগাযোগ করুন।,
Realme C17 6/128 Gb official (Used),"Posted on 18 Oct 8:30 pm, Jahaj Company More, Rangpur","Tk 11,990",['realme-c17-6-128-gb-official-used-for-sale-rangpur-1@281eb2f8-9828-4ed0-9501-223e93efaff7'],"{'Condition:': 'Used', 'Brand:': 'Realme', 'Model:': 'C17', 'Edition:': '6/128 Gb official', 'Authenticity:': 'Original'}",," Used Phone
📱Model:Realme C17 6/128GB full fresh
👌Price : BDT 11990/- Tk Only
📱Display: 6.5 inches,
🎮Chipset:Snapdragon 460(11nm)
🔋Battery: 5000 mAh
💥Fast Charging:18W
📸Rear Camera:13+8+2+2mp
🤳Front Camera: 8MP
👾RAM: 6GB
💾ROM: 128GB
🤙Fingerprint:Back
🕵Face Unlock
💥Os:Android : 11.0
Buyer Will Get :
🔹Full Box
🔹Cash Memo
💥Price : Fixed💥
No Bargaining For Price
♠ আমাদের থেকে আপনার পছন্দের মোবাইল কেন কিনবেনঃ
##Exchange possible with used phone
➡100 ভাগ কাস্টমার সন্তুষ্টি।
➡ ১০০% অরিজিনাল মোবাইল।
EXCHANGE FACILITY WITH USED PHONE
আমরা Rangpur বাহিরে কুরিয়ার করেও পন্য দিয়ে থাকি,বাংলাদেশের যে কোন প্রান্ত থেকে আপনি চাইলেই অর্ডার করতে পারেন। 
📞বিস্তারিত জানতে কল করুন প্রতিদিন
🔃আপনার পুরনো স্মার্টফোনটি দিয়ে #Exchange করে নতুন ফোন কিনতে পারবেন
এছাড়াও আমরা পুরনো ফোন ক্রয় ও করে থাকি সেক্ষেত্রে ডিভাইস এর বক্স, ক্যাশমেমো অবশ্যই থাকতে হবে।। 🔃
🏠 সিটি টেকনোলোজি 
মোতাহার কমাশিয়াল কমপ্লেক্স
গ্রাউন্ড ফ্লোর শপ নং#১
জাহাজ কোম্পানি মোড়, রংপুর
💓💓💓ধন্যবাদ 💓 
প্রেস ক্লাব মার্কেট চতুর্থ তলা, 
সিরির সামনে ,শপ নম্বর #29
জাহাজ কোম্পানি মোড়, রংপুর
💓💓💓ধন্যবাদ 💓",
Samsung Galaxy S20 5G 12+128GB SD-865 (Used),"Posted on 18 Oct 3:32 pm, Rampura, Dhaka","Tk 20,500","['samsung-galaxy-s20-5g-12128gb-sd-865-used-for-sale-dhaka@fe1aed5f-b5a8-4a39-9022-3e9649c870a6', 'samsung-galaxy-s20-5g-12128gb-sd-865-used-for-sale-dhaka@1e9ab5b9-1372-4a52-bddb-7e3ebb0204ea']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Galaxy S20', 'Edition:': '5G 12+128GB SD-865', 'Authenticity:': 'Original'}",,"🏠 SHUVO TECH WORLD🏠
📍Shop: 417, 3rd Floor, Molla Tower Shopping Complex (Opposite of BTV), Rampura, Dhaka-1219.
📳Device & cash memo.
💱💸 Exchange Possible 💸💱
N:B: Display Burn ❤️‍🔥 that's why offer price. 👋
➡️ 7 Day's replacement Guarantee,
➡️ 2 Year's service warranty.
          🏠 SHUVO TECH WORLD🏠
📍Shop: 417, 3rd Floor, Molla Tower Shopping Complex (Opposite of BTV), Rampura, Dhaka-1219.
📢 শপে আসার পূর্বে কল করে বিস্তারিত জেনে আসার জন্য অনুরোধ রইলো। 📢
          👍facebook page:
https://www.facebook.com/ShuvoTechWorld/",
Xiaomi Redmi Note 7 4+64 (Used),"Posted on 02 Oct 5:59 pm, Mirpur, Dhaka","Tk 11,000","['xiaomi-redmi-note-7-464-used-for-sale-dhaka-121@7641a645-35d4-40e0-9201-7271f94159d6', 'xiaomi-redmi-note-7-464-used-for-sale-dhaka-121@ec85ab47-e143-45cd-8bf6-e9bdd86cdb15']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 7', 'Edition:': '4+64', 'Authenticity:': 'Refurbished'}",,"Model: Redmi Note 7 
Ram: 4 GB
Rom : 64
Battery : 4000 mAh
Cammera: 48+5MP
***********************************
1 years Service Warranty
Address: Mobile Source
Shop: 16, Level-4
Sah Ali Plaza, Mirpur-10,Dhaka",
Realme C17 6/128 Gb official (Used),"Posted on 18 Oct 8:30 pm, Jahaj Company More, Rangpur","Tk 11,990",['realme-c17-6-128-gb-official-used-for-sale-rangpur-1@281eb2f8-9828-4ed0-9501-223e93efaff7'],"{'Condition:': 'Used', 'Brand:': 'Realme', 'Model:': 'C17', 'Edition:': '6/128 Gb official', 'Authenticity:': 'Original'}",," Used Phone
📱Model:Realme C17 6/128GB full fresh
👌Price : BDT 11990/- Tk Only
📱Display: 6.5 inches,
🎮Chipset:Snapdragon 460(11nm)
🔋Battery: 5000 mAh
💥Fast Charging:18W
📸Rear Camera:13+8+2+2mp
🤳Front Camera: 8MP
👾RAM: 6GB
💾ROM: 128GB
🤙Fingerprint:Back
🕵Face Unlock
💥Os:Android : 11.0
Buyer Will Get :
🔹Full Box
🔹Cash Memo
💥Price : Fixed💥
No Bargaining For Price
♠ আমাদের থেকে আপনার পছন্দের মোবাইল কেন কিনবেনঃ
##Exchange possible with used phone
➡100 ভাগ কাস্টমার সন্তুষ্টি।
➡ ১০০% অরিজিনাল মোবাইল।
EXCHANGE FACILITY WITH USED PHONE
আমরা Rangpur বাহিরে কুরিয়ার করেও পন্য দিয়ে থাকি,বাংলাদেশের যে কোন প্রান্ত থেকে আপনি চাইলেই অর্ডার করতে পারেন। 
📞বিস্তারিত জানতে কল করুন প্রতিদিন
🔃আপনার পুরনো স্মার্টফোনটি দিয়ে #Exchange করে নতুন ফোন কিনতে পারবেন
এছাড়াও আমরা পুরনো ফোন ক্রয় ও করে থাকি সেক্ষেত্রে ডিভাইস এর বক্স, ক্যাশমেমো অবশ্যই থাকতে হবে।। 🔃
🏠 সিটি টেকনোলোজি 
মোতাহার কমাশিয়াল কমপ্লেক্স
গ্রাউন্ড ফ্লোর শপ নং#১
জাহাজ কোম্পানি মোড়, রংপুর
💓💓💓ধন্যবাদ 💓 
প্রেস ক্লাব মার্কেট চতুর্থ তলা, 
সিরির সামনে ,শপ নম্বর #29
জাহাজ কোম্পানি মোড়, রংপুর
💓💓💓ধন্যবাদ 💓",
Xiaomi poco m2 pro (Used),"Posted on 18 Oct 8:28 pm, Bagerhat, Khulna Division","Tk 14,500","['xiaomi-poco-m2-pro-used-for-sale-khulna-division-87@5bd31415-e3e8-44a1-a058-c93e15973390', 'xiaomi-poco-m2-pro-used-for-sale-khulna-division-87@d1ff028f-6beb-4ce4-ae7d-6025ea61f627', 'xiaomi-poco-m2-pro-used-for-sale-khulna-division-87@d5d82d30-6ec6-4408-9e8a-9a8bad8f7366']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Other model', 'Edition:': 'poco m2 pro', 'Authenticity:': 'Original'}",,camera glass akta fata baki sob ok,
MI POWER BANK,"Posted on 18 Oct 8:28 pm, Mirpur, Dhaka","Tk 1,250","['mi-power-bank-for-sale-dhaka-551@0c15c696-4174-471c-bcce-971ffdcd9dc5', 'mi-power-bank-for-sale-dhaka-551@f386c881-e616-4ece-896c-0716537b5a58', 'mi-power-bank-for-sale-dhaka-551@45b8cc26-a09a-4b10-9a55-1063110f6bf3', 'mi-power-bank-for-sale-dhaka-551@2b3b27ad-d57f-4459-a77d-02eacc4fdec9', 'mi-power-bank-for-sale-dhaka-551@951edd5b-92a5-4630-9352-31fb74966164']",{'Condition:': 'Used'},,"10000mah 18w power bank 
5din hoise kinsi.
20/30k mah kinbo tai.
10k mah phone 1bar full
Abar arek barer 30% moto dite parben.
Jara power bank somporke buzen tarai buzbe keno 2bar charge dite parbe na.
Location a ase nite hobe.
Dhonnobad...",
Apple iPhone XR 64GB (Used),"Posted on 18 Oct 8:28 pm, Uttara, Dhaka","Tk 32,000","['apple-iphone-xr-64gb-used-for-sale-dhaka-759@a52ab19b-9911-4b4f-90c3-edc2c9659411', 'apple-iphone-xr-64gb-used-for-sale-dhaka-759@fc4c75fa-9668-4319-80f9-e39d1c4fd62a', 'apple-iphone-xr-64gb-used-for-sale-dhaka-759@4be48215-6e7d-485e-8801-0498c3131624']","{'Condition:': 'Used', 'Brand:': 'Apple', 'Model:': 'iPhone XR', 'Edition:': '64GB', 'Authenticity:': 'Original'}",,"Iphone XR  64 GB
True tone face id ok ✅ 
Original battery 🔋 
BH- 84%
Phone a kono doroner problem nai all ok ✅ 
phone ar sathe charger ar cover deya hobe.
obushokh location a aste hobe.",
Xiaomi Redmi Note 10 Pro (Used),"Posted on 18 Oct 8:28 pm, Dinajpur, Rangpur Division","Tk 20,499","['xiaomi-redmi-note-10-pro-used-for-sale-rangpur-division-40@86b868fc-e9bf-4a1a-b183-6ee69d8dc9dc', 'xiaomi-redmi-note-10-pro-used-for-sale-rangpur-division-40@91a78d8e-a8c0-4985-8db7-f8e3b2263037', 'xiaomi-redmi-note-10-pro-used-for-sale-rangpur-division-40@a1f1d4f9-26be-4bfa-9f6b-50cfa096b26b', 'xiaomi-redmi-note-10-pro-used-for-sale-rangpur-division-40@4016beff-3fc7-4a52-9741-932749a39de0', 'xiaomi-redmi-note-10-pro-used-for-sale-rangpur-division-40@b10ca73b-1dc8-4d19-8e50-9cc98dcfe40a']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 10 Pro', 'Authenticity:': 'Original'}",,"6/128
Phone+charger+box...
Charge backup:  নতুনে যেমন ছিল তেমন ই আছে।অনায়াসে ১ দিন এর বেশি যাবে নরমাল ইউজ টুকটাক গেম খেলে।
কেউ যদি নতুন ফোন নিতে চান তাহলে এটা দেখতে পারেন। আমি অ্যান্ড্রয়েড খুব একটা use করি না। ফোন full fresh ।।। Not negotiable.  অহেতুক knock করবেন না,দরদাম করবেন না।",
Apple iPhone X . (Used),"Posted on 18 Oct 8:27 pm, Cumilla, Chattogram Division","Tk 26,000","['apple-iphone-x-bhaal-used-for-sale-chattogram-division-1@bcaf11d3-799d-4206-a7bc-e3cf9d081a1d', 'apple-iphone-x-bhaal-used-for-sale-chattogram-division-1@a1a08cbc-c6a6-4ebb-a3a2-bdfb2a7e4ada', 'apple-iphone-x-bhaal-used-for-sale-chattogram-division-1@5bda3f4c-2fe1-46b5-aafb-39527d10227d', 'apple-iphone-x-bhaal-used-for-sale-chattogram-division-1@c7ef2a91-a6d3-4411-bd6f-1edbec251bf0']","{'Condition:': 'Used', 'Brand:': 'Apple', 'Model:': 'iPhone X', 'Edition:': '.', 'Authenticity:': 'Original'}",,ওনেক ভালমানের,
Samsung Galaxy A03 Core (New),"Posted on 18 Oct 8:29 pm, Khilgaon, Dhaka","Tk 10,500","['samsung-galaxy-a03-core-new-for-sale-dhaka-17@a4a19f67-18a4-4119-a2ee-6bfc02f470c9', 'samsung-galaxy-a03-core-new-for-sale-dhaka-17@58d11b28-0242-4c4d-a559-573ef18cb111', 'samsung-galaxy-a03-core-new-for-sale-dhaka-17@b6f6322f-69ca-44a6-8dcf-3649240a6b52']","{'Condition:': 'New', 'Brand:': 'Samsung', 'Model:': 'Galaxy A03 Core', 'Authenticity:': 'Original'}",,1 month since bought no scratch not used even in this one month completely fresh and everything perfectly working ,
OPPO A57 [4gb 64gb] (New),"Posted on 18 Oct 8:27 pm, Elephant Road, Dhaka","Tk 4,993","['oppo-a57-4gb-64gb-new-for-sale-dhaka-9@1b3b4286-8dd5-4531-bdfc-95087bf758fa', 'oppo-a57-4gb-64gb-new-for-sale-dhaka-9@ca8ec5ee-a8a5-42db-b9f1-56365b635340', 'oppo-a57-4gb-64gb-new-for-sale-dhaka-9@884056b5-0c51-4086-ac36-db70123d3d05', 'oppo-a57-4gb-64gb-new-for-sale-dhaka-9@8b78b389-fa6b-41cf-8df3-6cecffa6f980', 'oppo-a57-4gb-64gb-new-for-sale-dhaka-9@60bb756c-ddfb-4c59-b4bf-386e7e44b8c8']","{'Condition:': 'New', 'Brand:': 'OPPO', 'Model:': 'A57', 'Edition:': '[4gb 64gb]', 'Authenticity:': 'Original'}",,"🔴Condition: New
👉We Offered:
3 Days Replacement Guarantee, 1 Year Free Service Warranty
🛑🛑Oppo A57 Full Specifications:
✔️Brand : Oppo
✔️Model : A57
✔️Display : 5.20-inch
⚡RAM: 3GB
📁Storage: 32GB
📷Front Camera: 16MP
📷 Rear Camera: 13MP
🔋Battery : 2900mAh
📞বিস্তারিত জানতে কল করুন 
🚚 আমরা ঢাকার বাহিরেও কুরিয়ার এর মাধ্যমে পন্য পাঠিয়ে থাকি ,আপনি চাইলেই খুব সহজেই বাংলাদেশের যে কোন প্রান্ত থেকে অর্ডার করতে পারবেন।
.....
.....
📌আমাদের ঠিকানা :
“Nur Electronics""
(Shop: 5/4, Level - 5) 
Eastern Plaza Shopping Complex
Hatirpool, Dhaka 1205.",
Samsung Galaxy A20s (Used),"Posted on 18 Oct 8:27 pm, New Market, Rajshahi","Tk 10,000","['samsung-galaxy-a20s-used-for-sale-rajshahi-248@1f3c5a85-b149-4830-8588-9c9dcd9e707a', 'samsung-galaxy-a20s-used-for-sale-rajshahi-248@42c0f3b1-d3ce-4056-8b7a-1063c480a109', 'samsung-galaxy-a20s-used-for-sale-rajshahi-248@2041e798-5a43-4be6-899f-6921a7fa6494', 'samsung-galaxy-a20s-used-for-sale-rajshahi-248@f9e8af9a-6497-446c-aa25-25d7097e0a7a']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Galaxy A20s', 'Authenticity:': 'Original'}",,"Kono problem nai full fresh ace akono...original charger with box..akta back cover deoya hobe...kew baje dam bolben na...
10000 tk almost fixed",
Symphony i60 . (Used),"Posted on 18 Oct 8:26 pm, Patenga, Chattogram",Tk 950,"['symphony-i60-ntun-snskrnn-used-for-sale-chattogram@3d6ad755-8aa6-4733-a434-10e7b79b264b', 'symphony-i60-ntun-snskrnn-used-for-sale-chattogram@07231350-0e07-4c6d-bf1f-d3553dc6213a', 'symphony-i60-ntun-snskrnn-used-for-sale-chattogram@1493843e-318a-4950-8634-a1c440b61a9c', 'symphony-i60-ntun-snskrnn-used-for-sale-chattogram@254c7011-b7f6-422c-a726-b474cb38c54f']","{'Condition:': 'Used', 'Brand:': 'Symphony', 'Model:': 'i60', 'Edition:': '.', 'Authenticity:': 'Original'}",,"মোবাইলটা ১ মাস হয় কিনেছি।খুব ভালভাবে চালাতে পেরেছি। বাচ্চার হাত থেকে পড়ে গি আর অন হচ্ছে না।,মনে হয় ডিসপ্লে চলে গেছে। এই অবস্থায় বিক্রি করে দিবো যদি কারো লাগে লোকেশনে এসে নিয়ে যাবেন।অযথা কেউ দাম বলবেন না।",
Apple iPhone 6 16 Gb (Used),"Posted on 18 Oct 8:26 pm, Cumilla, Chattogram Division","Tk 6,800","['apple-iphone-6-16-gb-used-for-sale-chattogram-division-53@2f1654f5-5337-4e8a-ab90-4a120fa4aef1', 'apple-iphone-6-16-gb-used-for-sale-chattogram-division-53@0dab967b-42f7-44c6-9f52-f06c624f0543', 'apple-iphone-6-16-gb-used-for-sale-chattogram-division-53@ebf09e34-57db-467f-b638-19b43e934773']","{'Condition:': 'Used', 'Brand:': 'Apple', 'Model:': 'iPhone 6', 'Edition:': '16 Gb', 'Authenticity:': 'Original'}",,"আগে পোস্ট ভালো করে পড়ুন,তারপর মেসেজ দিবেন!!
অযথা কল দিবেন না!
ফোনটিতে কোনো সমস্যা নেই,শুধু মেইন স্পিকারের সাউন্ড কম শোনা যায়।আর এমনিতে সব কিছুই স্মুথলি চলে।সাথে একটা কাভর আর ক্যাবল পাবেন।
নিতে হলে অবশ্যই লোকেশনে আসতে হবে।
লোকেশন-কান্দিরপার,কুমিল্লা
Finger ok
Battery health-96%",
Xiaomi Redmi Note 9 . (Used),"Posted on 18 Oct 8:26 pm, Rupsa, Khulna","Tk 11,000","['redmi-note-9-used-for-sale-khulna-5@dc39719e-912d-4b1f-bbd2-808f22e11eb0', 'redmi-note-9-used-for-sale-khulna-5@d92508ff-985b-4c10-993a-958ee3efe828', 'redmi-note-9-used-for-sale-khulna-5@03805b94-542a-4abb-86a0-9f09d4732885']","{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi Note 9', 'Edition:': '.', 'Authenticity:': 'Original'}",,"Redmi6-128  Saudi Arabia tekey ana...
fully New condition 1 Year used..",
Nothing Phone 1 8/256 (Used),"Posted on 18 Oct 8:26 pm, Mirpur, Dhaka","Tk 45,000","['nothing-phone-1-8-256-used-for-sale-dhaka-15@93864dd4-b870-4906-9932-c3eeaf2c0f7b', 'nothing-phone-1-8-256-used-for-sale-dhaka-15@a88a8245-dbea-4bf1-9e80-5a3dba51877c', 'nothing-phone-1-8-256-used-for-sale-dhaka-15@3d3d2614-0a44-42b5-9f8d-e7e2b423c91e']","{'Condition:': 'Used', 'Brand:': 'Nothing', 'Model:': 'Phone 1', 'Edition:': '8/256', 'Authenticity:': 'Original'}",,"full fresh,oboshshoi location a ashte hobe.",
Google Pixel 3A (Used),"Posted on 18 Oct 8:26 pm, Uttara, Dhaka","Tk 5,000","['google-pixel-3-xl-3a-used-for-sale-dhaka-28@b6f690e3-4553-4f39-befc-6c708c36cf8b', 'google-pixel-3-xl-3a-used-for-sale-dhaka-28@b07a7278-9489-4c29-b736-d35e2fe14e00']","{'Condition:': 'Used', 'Brand:': 'Google', 'Model:': 'Pixel', 'Edition:': '3A', 'Authenticity:': 'Original'}",,"ফোনের কেমেরা কোয়ালিটি নিয়ে কিছু বলতে চাই না সবাই জানে কিছু সেম্পল দিলাম। , ফোনের ঠিক আছে শুধু প্যান্টের পকেট থেকে পরে ডিসপ্লে ভেংগে গেছে 🤧 লাগাইয়া নিতে পারেন ২- ৩ হাজার লাগতে পারে। তাহলেই সব ঠিক।",
Vivo Y33s . (Used),"Posted on 18 Oct 8:26 pm, Pabna, Rajshahi Division","Tk 23,000","['vivo-y33s-new-for-sale-rajshahi-division-6@2fe2b890-1807-4022-88e9-3683eba0fd84', 'vivo-y33s-new-for-sale-rajshahi-division-6@192e32e8-816c-4ce3-9468-c952554d9afa', 'vivo-y33s-new-for-sale-rajshahi-division-6@177e942b-9c42-4b53-805d-2fc37bd03f66', 'vivo-y33s-new-for-sale-rajshahi-division-6@412ffd37-6264-4ba5-bcfd-a315f38f21e8', 'vivo-y33s-new-for-sale-rajshahi-division-6@00933595-d822-4fe9-986c-db18ea8dc4dc']","{'Condition:': 'Used', 'Brand:': 'Vivo', 'Model:': 'Y33s', 'Edition:': '.', 'Authenticity:': 'Original'}",,"সাথে সব যা যা থাকে সব আছে একদম নতুন একটু স্কেচ ও নাই ফ্রেশ যত খুশি দেখে নিবেন অযথা দামাদামি করবেন না 
ফাও কেউ এসএমএস দিয়ে বিরক্ত করবেন না ধন্যবাদ",
OnePlus 6 (Used),"Posted on 18 Oct 8:25 pm, Meherpur, Khulna Division","Tk 14,000","['oneplus-6-used-for-sale-khulna-division-58@c44e6fef-e3ee-4aca-8912-77ee6a60ed3d', 'oneplus-6-used-for-sale-khulna-division-58@718b2de3-6186-4623-a1d3-be6dacb330c2', 'oneplus-6-used-for-sale-khulna-division-58@01810449-6f40-4ebf-8bae-45b1b33d5dc1']","{'Condition:': 'Used', 'Brand:': 'OnePlus', 'Model:': '6', 'Authenticity:': 'Original'}",,6/64..finger r option pawa jacce na..pn r charger..pn ta khubi valo,
Samsung Galaxy M02 . (Used),"Posted on 18 Oct 8:25 pm, Zinda Bazar, Sylhet","Tk 9,000","['samsung-galaxy-m02-good-used-for-sale-sylhet-1@6bd1c6f3-d0e6-4334-a7b8-7e294c1a5131', 'samsung-galaxy-m02-good-used-for-sale-sylhet-1@8feebf88-ed21-48c2-9f39-1e721e602fb9', 'samsung-galaxy-m02-good-used-for-sale-sylhet-1@d71a62cf-adea-4a72-a161-2de90411f75a', 'samsung-galaxy-m02-good-used-for-sale-sylhet-1@1c2a05e8-2f8f-4cb5-9cc9-377d0c619ee6', 'samsung-galaxy-m02-good-used-for-sale-sylhet-1@0dea85a4-42e7-4274-9689-4cec348bb9bc']","{'Condition:': 'Used', 'Brand:': 'Samsung', 'Model:': 'Galaxy M02', 'Edition:': '.', 'Authenticity:': 'Original'}",,Ak kotay kunu sport nai dag nai kub valo set 4/64  fixt,
"Realme C25s RAM 4GB ,ROM 64GB (Used)","Posted on 18 Oct 8:25 pm, Khilkhet, Dhaka","Tk 12,000","['realme-c25s-ram-4gb-rom-64gb-used-for-sale-dhaka-3@510e8b0a-72eb-443d-ac8b-dd5f5bd3eb1e', 'realme-c25s-ram-4gb-rom-64gb-used-for-sale-dhaka-3@f54a82e0-6789-48ed-becb-0c59a9c4fa00', 'realme-c25s-ram-4gb-rom-64gb-used-for-sale-dhaka-3@005d63c6-4256-4fad-af57-dfbc9adde8e0', 'realme-c25s-ram-4gb-rom-64gb-used-for-sale-dhaka-3@c2d94cb7-4e62-4e4f-99df-0e5af84a2ab5']","{'Condition:': 'Used', 'Brand:': 'Realme', 'Model:': 'C25s', 'Edition:': 'RAM 4GB ,ROM 64GB', 'Authenticity:': 'Original'}",,ব্যবহারিত ফোন।ফোন ফুল ফ্রেশ ।১বছর ব্যবহার করা হয়েছে। সাথে বক্স নাই ।চার্জার আছে ।,
Xiaomi Redmi 10 2022 new (Used),"Posted on 18 Oct 8:25 pm, Shatmatha Chottor, Rangpur","Tk 14,100",['xiaomi-redmi-10-2022-new-used-for-sale-rangpur-2@8fabffef-e4d7-4ec0-a5f7-37135d5044e0'],"{'Condition:': 'Used', 'Brand:': 'Xiaomi', 'Model:': 'Redmi 10 2022', 'Edition:': 'new', 'Authenticity:': 'Original'}",,"full new set...only 1 month used....
Xiaomi Redmi 10 2022 comes with 6.5 inches Full HD+ LCD screen. It has a center punch-hole design on the front. The display is protected by a 3rd generation Gorilla Glass. The back camera is of quad 50+8+2+2 MP
LOCATION :
Shadhin Hotel & Resturent Satmatha Rangpur স্বাধীন হোটেল এন্ড রেষ্টুরেন্ট সাতমাথা, রংপুর
https://maps.app.goo.gl/JiNeYyZuKmNxE39K7
Shadhin Hotel & Restaurant satmatha, Rangpur 
https://www.facebook.com/স্বাধীন-হোটেল-এন্ড-রেষ্টুরেন্ট-",
Apple iPhone 6S 2018 (Used),"Posted on 18 Oct 8:25 pm, Baizid, Chattogram","Tk 17,000","['apple-iphone-6s-2018-used-for-sale-chattogram-28@0d3782bf-cc4d-4194-a72b-55c5f900c499', 'apple-iphone-6s-2018-used-for-sale-chattogram-28@76b76c93-8744-4a39-9e8d-f468c79a1534', 'apple-iphone-6s-2018-used-for-sale-chattogram-28@4b36a14b-1018-411e-b0d5-4d735c2f8978']","{'Condition:': 'Used', 'Brand:': 'Apple', 'Model:': 'iPhone 6S', 'Edition:': '2018', 'Authenticity:': 'Original'}",,"price is fixed,mobile condition 99% fresh,",
Apple iPhone XS Max 256GB (Used),"Posted on 18 Oct 8:25 pm, Savar, Dhaka","Tk 38,000","['apple-iphone-xs-max-256gb-used-for-sale-dhaka-791@de5350b2-e8cf-495f-bcb9-e236ed38fffe', 'apple-iphone-xs-max-256gb-used-for-sale-dhaka-791@6c0e52ee-a9c2-4a48-96d2-f3c57c6b697f', 'apple-iphone-xs-max-256gb-used-for-sale-dhaka-791@fa772b2f-306e-4759-8ecd-025208f6321c', 'apple-iphone-xs-max-256gb-used-for-sale-dhaka-791@78e8d77b-993e-40c3-9b76-cdd4c5cb8d67', 'apple-iphone-xs-max-256gb-used-for-sale-dhaka-791@580386d1-d866-4ab3-927f-83c1346bb09d']","{'Condition:': 'Used', 'Brand:': 'Apple', 'Model:': 'iPhone XS Max', 'Edition:': '256GB', 'Authenticity:': 'Original'}",,"সম্পুর্ন পোস্ট পড়ে মেসেজ করুন ।।।।।।। 
iPhone XS MAX 
256GB 
Space Grey Colour
Face id 100% okay
True Tone 100% okay
Box nai 
Battery Health 100% ( Changed From Ifixit )
Body te no scratch no dents full okay 
NID CARD এর কপি দেওয়া যাবে 
যত খুশি দেখে নিবেন , খুব যত্ন করে Protector সহ ব্যাবহার করা হয়েছে 
লোকেশন এ আসতে হবে অবশ্যই 
উল্টা পাল্টা দাম বলে অপমানিত হবেন না 
ধন্যবাদ",
OnePlus 9 5G 8/128 (Used),"Posted on 18 Oct 8:25 pm, Narsingdi, Dhaka Division","Tk 39,000","['oneplus-9-5g-8-128-used-for-sale-dhaka-division-1@c130c90f-d660-422f-806e-5f99f6c099f6', 'oneplus-9-5g-8-128-used-for-sale-dhaka-division-1@04cb651b-68c1-42cc-8aa6-98e8afcab139', 'oneplus-9-5g-8-128-used-for-sale-dhaka-division-1@a39d3006-edda-4862-9744-4101a83d0148', 'oneplus-9-5g-8-128-used-for-sale-dhaka-division-1@a72bfeac-608a-4e00-a732-06db2569bd51', 'oneplus-9-5g-8-128-used-for-sale-dhaka-division-1@e5ae57eb-e715-4af0-85d1-c7e53783e678']","{'Condition:': 'Used', 'Brand:': 'OnePlus', 'Model:': '9', 'Edition:': 'oneplus 9 5G 8/128', 'Authenticity:': 'Original'}",,"oneplus 9 5G 8/128
100% Fresh.
সাথে পাবেন
1/ বক্স ও অরিজিনাল ৬৫ ওয়াট এর চার্জার
ফোন 100% ফ্রেশ আছে। যতক্ষণ ইচ্ছা চেক করে নিতে পারবেন। যাদের বাজেটে পরে, তারা নিশ্চিন্তে নিতে পারেন।কেউ দামাদামি করবেন না। 
দামঃ ৩৯০০০ টাকা একদাম
ঠিকানাঃ ভেলানাগর  বাজার নরসিংদী",
Mi Band 6 (used),"Posted on 18 Oct 8:24 pm, Rampura, Dhaka","Tk 2,500","['mi-band-6-used-for-sale-dhaka-1@8cc4f68a-456f-4d75-bd2a-c8a2c43e1354', 'mi-band-6-used-for-sale-dhaka-1@3fb63296-46d9-45c6-8589-046c641262c3', 'mi-band-6-used-for-sale-dhaka-1@fa77ec0d-d998-4bde-a698-a2d5b4e13046', 'mi-band-6-used-for-sale-dhaka-1@92517a87-f1b3-4493-a5ee-4efbd6eec747', 'mi-band-6-used-for-sale-dhaka-1@c7096643-da01-490b-b9e4-8a08f7ed9e8a']","{'Condition:': 'Used', 'Wearable type:': 'Fitness Bands'}",,"Xiaomi Mi Band 6 for sale
- Bought from Xiaomi Global store on Daraz
- Used for only 3 months
- No Warranty
- Comes with Packaging
Price = 2,500 Taka (Negotiable).",
