Trading_code    News Title   News   Post Date
ALLTEX  ////// ALLTEX: Commencement of Production  ////// Refer to their earlier news disseminated by DSE on 20.12.2020 regarding Extension of Temporary Shutdown, the Company has further informed that the Board of Directors has decided to recommence the production activities in the factory of the company from February 10, 2021 upon completion of gas work.  /////// 2021-01-31
........................................................................................................................PHPMF1  ////// PHPMF1: Q2 Financials  ////// (Q2 Un-audited): EPU was Tk. 0.53 for October-December 2020 as against Tk. (0.27) for October-December 2019; EPU was Tk. 1.67 for July-December 2020 as against Tk. (0.38) for July-December 2019. NOCFPU was Tk. 0.33 for July- December 2020 as against Tk. 0.17 for July- December 2019. NAV per unit at market price was Tk. 10.90 as on December 31, 2020 and Tk. 9.23 as on June 30, 2020. NAV per unit at cost price was Tk. 11.09 as on December 31, 2020 and Tk. 10.86 as on June 30, 2020.  /////// 2021-01-31
........................................................................................................................NCCBLMF1  ////// NCCBLMF1: Price Limit Open  ////// There will be no price limit on the trading of the units of the Fund on 01.02.2021 following its corporate declaration, however, as per the BSEC Order No. BSEC/CMRRCD/2001-07/04 dated March 19, 2020, the floor price shall be applicable accordingly.  /////// 2021-01-31
........................................................................................................................NCCBLMF1  ////// NCCBLMF1: Dividend Declaration  ////// The Trustee Committee of the fund has approved 7.25% cash dividend based on Net Income and Retained Earnings for the year ended on December 31, 2020. Record date: 22.02.2021. The Fund has also reported EPU of Tk. 1.12, NAV per unit of Tk. 10.87 at cost price basis, NAV per unit of Tk. 11.81 at Market price basis and NOCFPU of Tk. 2.89 for the year ended on December 31, 2020 as against Tk. (0.48), Tk. 9.75, Tk. 9.80 and Tk. 1.13 respectively for the same period of the previous year.  /////// 2021-01-31
........................................................................................................................POPULAR1MF  ////// POPULAR1MF: Q2 Financials  ////// (Q2 Un-audited): EPU was Tk. 0.44 for October-December 2020 as against Tk. (0.29) for October-December 2019; EPU was Tk. 1.52 for July-December 2020 as against Tk. (0.47) for July-December 2019. NOCFPU was Tk. 0.34 for July- December 2020 as against Tk. 0.27 for July- December 2019. NAV per unit at market price was Tk. 10.90 as on December 31, 2020 and Tk. 9.38 as on June 30, 2020. NAV per unit at cost price was Tk. 11.44 as on December 31, 2020 and Tk. 11.17 as on June 30, 2020.  /////// 2021-01-31
........................................................................................................................GENNEXT  ////// GENNEXT: Q2 Financials  ////// (Q2 Un-audited): EPS was Tk. 0.02 for October-December, 2020 as against Tk. 0.15 for October-December, 2019; EPS was Tk. (0.06) for July-December, 2020 as against Tk. 0.35 for July-December, 2019. NOCFPS was Tk. 0.41 for July-December, 2020 as against Tk. 0.06 for July-December, 2019. NAV per share was Tk. 11.84 as on December 31, 2020 and Tk. 11.90 as on June 30, 2020.  /////// 2021-01-31
........................................................................................................................NCCBLMF1  ////// NCCBLMF1: Q3 Financials  ////// (Q3 Un-audited): EPU was Tk. 0.0109 for July-September 2020 as against Tk. 0.0021 for July-September 2019. EPU was Tk. (0.0488) for January-September 2020 as against Tk. (0.0573) for January-September 2019; NOCFPU was Tk. 0.15 for January-September 2020 as against Tk. 0.63 for January-September 2019. NAV per unit at market price was Tk. 11.10 as on September 30, 2020 and Tk. 9.80 as on December 31, 2019. NAV per unit at cost price was Tk. 9.70 as on September 30, 2020 and Tk. 9.75 as on December 31, 2019.  /////// 2021-01-31
........................................................................................................................QUASEMIND  ////// QUASEMIND: Q2 Financials  ////// (Continuation news of QUASEMIND): meaning that sales of Quasem Lamps products are no longer reflected in the revenue of Quasem Industries Limited. It should also noted that instead of earnings revenue from trading sales, Quasem Industries Limited earned distribution service income from its sister concern by distributing their products. (end)  /////// 2021-01-31
........................................................................................................................QUASEMIND  ////// QUASEMIND: Q2 Financials  ////// (Continuation news of QUASEMIND): The Company also informed that the total revenue for the six months ended on 31 December, 2020 was recorded as Tk. 608,843,266.00 in the same period of last year the corresponding total revenue was Tk. 801,254,357.00. From these figures it seems that the overall revenue has decreased, this is happened due to from September 2019, the management of Quasem Industries Limited and Quasem Lamps Limited decided to discontinue their trading relationship, (Cont. 2)  /////// 2021-01-31
........................................................................................................................QUASEMIND  ////// QUASEMIND: Q2 Financials  ////// (Q2 Un-audited): EPS was Tk. 0.18 for October-December 2020 as against Tk. 0.23 for October-December 2019; EPS was Tk. 1.11 for July-December 2020 as against Tk. 0.60 for July-December 2019. NOCFPS was Tk. 0.21 for July-December 2020 as against Tk. 0.24 for July-December 2019. NAV per share was Tk. 30.12 as on December 31, 2020 and Tk. 29.54 as on June 30, 2020. (Cont. 1)  /////// 2021-01-31
